character_slug,control_type,move_name_jp,tokens_classic,tokens_modern,tokens_for_mode,tokens_norm_classic,tokens_norm_modern,tokens_norm_for_mode,match_status,manual_classic,manual_modern_full,manual_modern_short,required_special_keys,consume_special_keys,gain_special_keys,variant_tag,followup_parent_move_name_jp,followup_child_variant,followup_window,applies_poison_on_hit_override,triggers_poison_bloom_on_hit_override,poison_bloom_damage_override,poison_bloom_on_hit_override,startup,active,recovery,on_hit,on_block,cancel,damage,combo_scale,drive_gain,drive_loss_guard,drive_loss_punish,sa_gain,attribute,note,row_kind,mmdk_action_id,mmdk_action_name,mmdk_action_base,frame_link_move_name_jp,mmdk_suggested_tokens,mmdk_source_key,manual_self_pos_start_x,manual_self_pos_end_x,manual_opp_pos_start_x,manual_opp_pos_end_x,manual_vs_distance_start,manual_vs_distance_end,calc_manual_self_move_x_total,calc_manual_target_move_x_sum,manual_note
cviper,classic,立ち弱P（スナップナックル） 弱,,,,,,,missing,LP,L,,,,,,,ATK_5LP_B,,,,,,4,4-6,8,4,-2,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応 ハイジャンプキャンセル可能,frame,600,ATK_5LP,,,,,,,,,,,,,
cviper,classic,立ち弱K（ヒールキック） 弱,,,,,,,missing,LK,AutoL,,,,,,,,,,,,,5,5-7,11,3,-2,C,300,始動補正20%,250,-500,-2000,300,上,ハイジャンプキャンセル可能,frame,605,ATK_5LK,,,,,,,,,,,,,
cviper,classic,立ち中P（ハンマーフック） 中,,,l,,,,missing,MP,M,,,,,,,,,,,,,8,8-11,12,6,1,C,600,,1500,-3000,-4000,500,上,ハイジャンプキャンセル可能,frame,603,ATK_5MP,,,,,,,,,,,,,
cviper,classic,立ち中K（フロントキック） 中,,,,,,,missing,MK,M|AutoM,,,,,,,,,,,,,8,8-10,18,4,-3,,700,,2000,-4000,-6000,700,上,空振り時硬直2F増加 ハイジャンプキャンセル可能,frame,606,ATK_5MK,,,,,,,,,,,,,
cviper,classic,立ち強P（トマホークチョップ） 強,,,,,,,missing,HP,H,,,,,,,,,,,,,12,12-14,21,3,-3,,900,,3000,-6000,-10000,1000,上,ハイジャンプキャンセル可能,frame,604,ATK_5HP,,,,,,,,,,,,,
cviper,classic,立ち強K（ヴァイパーブレード） 強,,,,,,,missing,HK,AutoH,,,,,,,,,,,,,10,10-13,20,4,-3,,900,,3000,-6000,-10000,1000,上,空中ヒット時床バウンド パニッシュカウンター時+19 ハイジャンプキャンセル可能,frame,608,ATK_5HK,,,,,,,,,,,,,
cviper,classic,しゃがみ弱P（ジャブ） 弱,,,,,,,missing,2LP,2L-2L,,,,,,,,,,,,,4,4-6,8,5,-1,C,300,始動補正20%,250,-500,-2000,300,上,連打キャンセル対応 ハイジャンプキャンセル可能,frame,610,ATK_2LP,,,,,,,,,,,,,
cviper,classic,しゃがみ弱K（クラウチングヒールキック） 弱,,,,,,,missing,2LK,2L,,,,,,,,,,,,,5,5-6,9,4,-1,,200,始動補正20%,250,-500,-2000,300,下,連打キャンセル対応 ハイジャンプキャンセル可能,frame,614,ATK_2LK,,,,,,,,,,,,,
cviper,classic,しゃがみ中P（ヴァイパーブロー） 中,,,,,,,missing,2MP,AutoM,,,,,,,,,,,,,6,6-8,17,5,-2,C,600,,1500,-3000,-4000,500,上,ハイジャンプキャンセル可能,frame,611,ATK_2MP,,,,,,,,,,,,,
cviper,classic,しゃがみ中K（グランドキック） 中,,,,,,,missing,2MK,2M,,,,,,,,,,,,,8,8-10,17,5,-1,,600,始動補正20%,2000,-3000,-5000,600,下,ハイジャンプキャンセル可能,frame,615,ATK_2MK,,,,,,,,,,,,,
cviper,classic,しゃがみ強P（ヴァイパースライサー） 強,,,,,,,missing,2HP,2H,,,,,,,,,,,,,9,9-11,20,2,-5,C,800,,2000,-5000,-8000,1000,上,ハイジャンプキャンセル可能 強制立ち効果,frame,612,ATK_2HP,,,,,,,,,,,,,
cviper,classic,しゃがみ強K（ヴァイパースイープ） 強,,,,,,,missing,2HK,3H,,,,,,,,,,,,,10,10-12,25,D,-11,,900,,3000,-4000,-10000,1000,下,パニッシュカウンター時ダウン時間増加、ハードノックダウン,frame,616,ATK_2HK,,,,,,,,,,,,,
cviper,classic,ジャンプ弱P（エアリアルエルボー） （ジャンプ中に） 弱,,,,,,,missing,,,,,,,,,ATK_5LP_B,,,,,,5,5-10,着地後3,,,,300,,500,-1500,-2000,300,中,,frame,619,ATK_8LP,,,,,,,,,,,,,
cviper,classic,ジャンプ弱K（エアリアルプレスキック） （ジャンプ中に） 弱,,,,,,,missing,,,,,,,,,,,,,,,5,5-11,着地後3,,,,300,,500,-1500,-2000,300,中,,frame,625,ATK_8LK,,,,,,,,,,,,,
cviper,classic,ジャンプ中P（エアリアルヴァイパーブロー） （ジャンプ中に） 中,,,,,,,missing,,,,,,,,,,,,,,,8,8-13,着地後3,,,C,600,,1000,-3000,-4000,500,中,空中ヒット時吹き飛びダウン,frame,621,ATK_8MP,,,,,,,,,,,,,
cviper,classic,ジャンプ中K（エアリアルトーキック） （ジャンプ中に） 中,,,,,,,missing,,,,,,,,,,,,,,,7,7-12,着地後3,,,,500,,1000,-2500,-4000,500,中,めくり性能,frame,627,ATK_8MK,,,,,,,,,,,,,
cviper,classic,ジャンプ強P（エアリアルハンマー） （ジャンプ中に） 強,,,,,,,missing,,,,,,,,,,,,,,,11,11-15,着地後3,,,,800,,2000,-4000,-5000,1000,中,空中ヒット時叩きつけダウン,frame,623,ATK_8HP,,,,,,,,,,,,,
cviper,classic,ジャンプ強K（エアリアルクラッシュニー） （ジャンプ中に） 強,,,,,,,missing,,,,,,,,,,,,,,,8,8-14,着地後3,,,C,700,,2000,-4000,-5000,1000,中,めくり性能,frame,,,,,,,,,,,,,,,
cviper,classic,垂直ジャンプ強K（エアリアルジャベリン） （垂直ジャンプ中に） 強,,,,,,,missing,,,,,,,,,,,,,,,10,10-16,着地後3,,,,800,,2000,-4000,-5000,1000,中,,frame,629,ATK_Aerial_J,,,,,,,,,,,,,
cviper,classic,ヴァイパーエルボー 中,,,,,,,missing,6MP,6M,,,,,,,,,,,,,22,22-24,20,2,-3,,600,,1500,-2500,-5000,500,中,16-27F 足元無敵,frame,635,ATK_6MP,,,,,,,,,,,,,
cviper,classic,ダブルキック 強,,,,,,,missing,6HK,6H,,,,,,,,,,,,,11,"11-31 11-13, 29-31",16,4,-2,,900,始動補正20%,3000,-5000,-10000,1000,上,,frame,636,ATK_6HK,,,,,,,,,,,,,
cviper,classic,ハイジャンプ（前方）,29,,29,29|28,,29|28,match,29,29,,,,,,,specials,2-5,,,,,,,46+着地後3,,,,0,,0,0,0,0,,発動時にDゲージを10000消費 7-46F 空中判定 2-5Fまで、必殺技へキャンセル可,frame,1018,BAS_Hi_JUMP_F_START,,,,,,,,,,,,,
cviper,classic,ハイジャンプ（垂直）,28,,28,29|28,,29|28,match,28,28,,,,,,,specials,2-5,,,,,,,46+着地後3,,,,0,,0,0,0,0,,発動時にDゲージを10000消費 7-46F 空中判定 2-5Fまで、必殺技へキャンセル可,frame,1014,BAS_Hi_JUMP_N_START,,,,,,,,,,,,,
cviper,classic,弱 サンダースラップ 弱,,,,,,,missing,214LP,214L,,,,,,,SPA_SDN_feint,,,,,,17,17-20,23,1,-4,SA3,900,,2000,-4000,-6000,800,上,12F目にフェイントに派生可 20F目にヒット/ガード時専用技に派生可,frame,900,SPA_THN_L,,,,,,,,,,,,,
cviper,classic,中 サンダースラップ 中,,,,,,,missing,214MP,214M,,,,,,,SPA_SDN_feint,,,,,,16,16-19,22,1,-3,SA3,900,,2000,-4000,-6000,800,上,8F目にフェイントに派生可 19F目にヒット/ガード時専用技に派生可,frame,901,SPA_THN_M,,,,,,,,,,,,,
cviper,classic,強 サンダースラップ 強,,,,,,,missing,214HP|214PP,6SP214H|6AutoSP214AnyAny,,,,,,,SPA_SDN_feint_H,,,,,,7,7-16,37,D,-24,,900,,4000,-4000,-5000,1000,上,1-9F　空中判定の打撃・空弾属性に対して無敵 9-31F　空中判定 6F目にフェイントに派生可 17F目にヒット時専用技に派生可,frame,903,SPA_THN_H,,,,,,,,,,,,,
cviper,classic,OD サンダースラップ,214PP,,214PP,214PP,,214PP,match,214K,5SP,,,,,,,,,,,,,18,"18-41 18-21, 38-41",21,D,-2,SA2,1600,始動補正30% コンボ補正20%,0,-5000,-8000,1200,上,,frame,905,SPA_SDN_OD,,,,,,,,,,,,,
cviper,classic,弱 トレースコンビネーション （弱 サンダースラップ中に）,,,,6PP,,6PP,norm_match,6PP,6AnyAny,,,,,,,,,,,,,15,15-17,28,D,-15,SA3,600,,0,-4000,-4000,500,上,発動時にDゲージを10000消費,frame,912,SPA_THN_L_AD,,,,,,,,,,,,,
cviper,classic,中 トレースコンビネーション （中 サンダースラップ中に）,,,,6PP,,6PP,norm_match,6PP,6AnyAny,,,,,,,,,,,,,21,21-24,25,D,-13,SA3,600,,0,-4000,-4000,500,上,発動時にDゲージを10000消費 空中ヒット時床バウンド,frame,912,SPA_THN_L_AD,,,,,,,,,,,,,
cviper,classic,強 トレースコンビネーション （強 サンダースラップ中に）,,,,6PP,,6PP,norm_match,6PP,6AnyAny,,,,,,,,,,,,,17,17-20,37,D,ー,,500,,0,-4000,-4000,500,上,発動時にDゲージを10000消費,frame,912,SPA_THN_L_AD,,,,,,,,,,,,,
cviper,classic,[サンダースラップ]フェイント （サンダースラップ攻撃前に）,,,,K,,K,norm_match,K,AnyorDIorDPor投げ,,,,,,,,,,,,,,,全体 12,,,,0,,0,0,0,0,,,frame,906,SPA_SDN_feint,,,,,,,,,,,,,
cviper,classic,弱 バーニングキック 弱,,,,,,,missing,236LK|236MK|236HK,236L|4SP236M|236H,,,,,,,,,,,,,23,23-27,20,D,-2,,900,,2500,-4000,-7000,1000,上,5-34F　空中判定 27-29Fまで、チェイスナックル、ダブルバーンに派生可 パニッシュカウンター時吹き飛び時間延長,frame,927,SPA_Burning,,,,,,,,,,,,,
cviper,classic,中 バーニングキック 中,,,,,,,missing,236LK|236MK|236HK,236L|4SP236M|236H,,,,,,,,,,,,,25,25-29,20,D,-2,,900,,2500,-4000,-7000,1000,上,5-36F　空中判定 29-31Fまで、チェイスナックル、ダブルバーンに派生可 パニッシュカウンター時吹き飛び時間延長,frame,928,SPA_Burning(1),,,,,,,,,,,,,
cviper,classic,強 バーニングキック 強,,,,,,,missing,236LK|236MK|236HK,236L|4SP236M|236H,,,,,,,,,,,,,27,27-31,20,D,-2,,900,,2500,-4000,-7000,1000,上,5-38F　空中判定 31-33Fまで、チェイスナックル、ダブルバーンに派生可 パニッシュカウンター時吹き飛び時間延長,frame,929,SPA_Burning(2),,,,,,,,,,,,,
cviper,classic,OD バーニングキック,236KK,,236KK,236KK,,236KK,match,236KK,4AutoSP236AnyAny,,,,,,,,,,,,,8,"8-35 8-10, 32-35",21,D,-4,SA2,1500,始動補正30% コンボ補正20%,0,-5000,-10000,1200,上,11-43F　空中判定,frame,930,SPA_BURNING_OD,,,,,,,,,,,,,
cviper,classic,チェイスナックル （バーニングキック中に）,,,,PP,,PP,norm_match,PP,LM,,,,,,,,,,,,,12,12-15,34,D,-15,,800,,0,-4000,-4000,500,上,発動時にDゲージを10000消費,frame,944,SPA_Burning_punch,,,,,,,,,,,,,
cviper,classic,ダブルバーン （バーニングキック中に）,,,,KK,,KK,norm_match,KK,MH,,,,,,,,,,,,,21,21-25,20,D,2,,600,,0,-4000,-6000,500,上,発動時にDゲージを10000消費,frame,947,SPA_Burning_Kick,,,,,,,,,,,,,
cviper,classic,弱 空中バーニングキック （垂直 or 前ジャンプ中に） 弱,,,,,,,missing,236LK|236MK|236HK|236KK,236L|SP236M|236H|AutoSP236AnyAny,,,,,,,,,,,,,22,22-28,着地後13,D,-4～0,,900,,2500,-4000,-7000,1000,上,めくり性能 ガードさせた高度によって硬直差が変化 相手を飛び越えて空振り時、着地硬直8F増加,frame,956,SPA_Burning_Air,,,,,,,,,,,,,
cviper,classic,中 空中バーニングキック （垂直 or 前ジャンプ中に） 中,,,,,,,missing,236LK|236MK|236HK|236KK,236L|SP236M|236H|AutoSP236AnyAny,,,,,,,,,,,,,20,20-26,着地後13,D,-4～0,,900,,2500,-4000,-7000,1000,上,めくり性能 ガードさせた高度によって硬直差が変化 相手を飛び越えて空振り時、着地硬直8F増加,frame,958,SPA_Burning_Air(2),,,,,,,,,,,,,
cviper,classic,強 空中バーニングキック （垂直 or 前ジャンプ中に） 強,,,,,,,missing,236LK|236MK|236HK|236KK,236L|SP236M|236H|AutoSP236AnyAny,,,,,,,,,,,,,18,18-24,着地後13,D,-5～-2,,900,,2500,-4000,-7000,1000,上,めくり性能 ガードさせた高度によって硬直差が変化 相手を飛び越えて空振り時、着地硬直8F増加,frame,960,SPA_Burning_Air(4),,,,,,,,,,,,,
